source,time,person,location,organization,miscellaneous
factcheck,2004-04-14T00:00:00,alan greenspan|howard baker|greenspan|al gore|bill clinton|lyndon johnson|ronald reagan|bob dole|richard nixon|reagan|nixon|johnson,immigrants|medicare,the democratic party|republican congress|greenspan commission|social security administration|social security|who spent trust fund money|democratic-controlled house|ssi social security|ssi|republican house|supplemental security income|social security â¬ê click|who taxed benefits|democratic party|republican senate|while social security|public law,federal|republican-controlled|lying e-mail #|u.s. senate
factcheck,2004-06-03T00:00:00,alan melamed|miss cleo|luther|michael dukakis|karlyn kohrs campbell|paul souhrada|bill luther|j.b. stoner|william luther|bob taft|lee fisher|richter|willie horton|fisher|fifth edition|beth lane|election day|randy furst|tribune|v. roy|randy ludlow|jim parsons|philip c. richter|patten|jude|taft|committee|monitor patriot|kathleen hall jamieson|tad jude|star tribune|daniel patten|benjamin marrison|thaddeus victor jude|thomas learning|stoner,wadsworth|minnesota|ohio|minneapolis|south|belmont|atlanta,block racist ad|ca|ftc|killer ophthalmologists washington|mass media|commercial ruled untruthful|advertising|federal communications commission|elections|interplay of influence news|cincinnati post|new york times|minnesota court of appeals|public disclosure commission|federal communications act|supreme court of washington state|associated press|washington state supreme court|commission says data|elections commission|cleveland plain dealer|be outlawed|u.s. supreme court|u.s. senate|federal trade commission|lying|fraternal order of police|national states rights|fcc won|supreme court|lying treasurer ohio|false ad that couldn|first amendment|settle ftc charges|minnesota senate|tv|bogus psychics & twirling ballerina dolls laws|ohio elections commission,republic|was misused|u.s. constitution|bouncin â€™ kid ballerina kid|vote no !|outstanding consumer charges|furloughed rapist example
factcheck,2007-04-27T00:00:00,viveca novak|lobbyists obama|burton|bloomberg|linda|hillary rodham clinton|sources beaumont|dennis kucinich|bill burton|jim|beaumont|winston group|emi kolawole|brooks jackson|aron|alan solomont|thomas|bill richardson|darling-hammond|biden|linda darling-hammond|justin bank|alexander|david d.|joe miller|barack obama|veto math|brian williams|cho|kucinich|thomas beaumont|lori robertson|judge paul barnett|seung-hui cho|joseph biden,iowa|illinois|mideast|orangeburg|virginia tech|delaware|new york|israel|iraq|bolton|south carolina|new mexico|oil|japan|ohio|india|virginia|china,stanford|ipoll databank|los angeles times|montgomery county|associated press|professional development|the hill|future research worth|the roper center|virginia tech hillary|des moines register|the new york times|south carolina state university|general district court|phi delta kappan|the senate|the associated press|university of connecticut|brookings iraq index|smoking gun|new models|public opinion research|nbc|brookings institute|mentally ill,republican-aligned|muscatine-area|palestinian|palestinians
factcheck,2007-05-31T00:00:00,william|john linder|neal boortz|burton|john|gale|kotlikoff|boortz|sources bachman|historical tables|laurence kotlikoff|mike huckabee|chris|william g.|chris edwards|harper collins|linder|laurence|duncan hunter|tom tancredo|david burton|joe miller|paul|william gale|huckabee|utilities gasoline|neal,fairtax|new york,flat tax revolution|american enterprise institute|who really pays|u.s. retail gasoline prices|aft|fair taxation|president â€™s advisory panel|upon further review|new york times|cato|federal tax reform|gpo|flat tax|analysis how|fairtax will lower prices proponents|advisory panel|factcheck|fairtax book|united states department of energy|h.r.|tax reform|rent interest|dc.|consumption taxes|brookings institution|rate have|fairtax â€™s|treasury department|what rate works|boston university|brookings institute|â€œ analysis|cato institute|treasury|americans for fair taxation,tax analysts|fair tax act|fairtax book â€™|analysis|english|fiscal year
factcheck,2007-05-30T00:00:00,s. con|adam putnam|john spratt,florida|representatives|south carolina,tax analysis|house ways and means committee|jessica henig sources congressional record|u.s. treasury department|select tax cut extensions|spin Â  here|tax policy center|senate finance committee|president bush,major tax bills
factcheck,2007-05-16T00:00:00,jewell|m. marquis|viveca novak|levitating numbers|giuliani|m. manning|mayor giuliani|tommy thompson|emi kolawole|carol l.|thompson|brooks jackson|bush â€™s|tancredo|d. qin|mike huckabee|jessica henig|chris wallace|solomon|z. chen|duncan hunter|tony jewell|justin bank|tom tancredo|rudy giuliani|wallace|fair|sources bovbjerg|joe miller|hurricane katrina|mitt romney|hunter|k.b. averyt|h.l. miller|stephen simas correction|lori robertson|huckabee|summary claims|giuliani giuliani|patrick michaels,wisconsin|columbia|colorado|new york|massachusetts|cambridge|iraq|united kingdom|earth|arkansas|s.c.|china,epi|american association of petroleum geologists|intergovernmental panel on climate change|fox news network|urban institute|massachusetts taxpayer foundation|climate change|ipcc|resurrected emergency stockpile when|fox news channel|misleading tax claim|federal tax reform|cato|intergovernmental panel|fox news sunday|department of health and human services|cambridge university press|advisory panel|fix america â€™s tax system|some key questions|national research council|united nations environment programme|disputed job-loss figures california|long road back|adoption escalation former new york|tax reform|fourth assessment report|economic policy institute|massachusetts municipal association|strategic national stockpile|randall r. state responses|university of south carolina|physical science basis|world meteorological organization|cato institute|state budget|gop|national academies press|americans for fair taxation,world climate report blog
factcheck,2007-05-07T00:00:00,management report|rudy giuliani|giuliani,services|children|new york|new york city,office of research evaluation|new york city administration|official puffery|new york administration|preliminary mayor|administration for children â€™s services|brooks jackson sources new york city mayor â€™s office|nyc mayor â€™s office|children â€™s services|acs,acs update annual report
factcheck,2007-05-04T00:00:00,Â  fagan|viveca novak|sam brownback|john|steven|giuliani|steve|interest boogeymen|tommy thompson|emi kolawole|brooks jackson|rebecca|fence hunter|sources dembner|for patrick|duncan hunter|justin bank|tom tancredo|rudy giuliani|fiscal year|joe miller|spin kansas|mitt romney|hunter|amy|parkinson|john mccain|alice|stephen simas correction|policy|lori robertson,wisconsin|iran|health statistics|california|mexico|texas|web|new york|massachusetts|medicaid|new mexico|san diego|border Â |san jose|arizona|gulf|tucson|reagan library|simi valley|new york city|korea|china,washington times|new york city administration|massachusetts survey of health insurance status|motorola|border patrol|u.s. customs|boston globe|congressional research service|children â€™s services|fbi|welfare policy center|department of homeland security|abc news|international boundary|border protection|associated press|federal bureau of investigation|health care former massachusetts|new york adoptions|u.s. senate|commonwealth health insurance connector|stem cell information faq|border security|â€™s department of workforce development|health care finance|welfare caseload|city journal|new york safest big city|national institutes of health|washington post|ronald reagan library|ap|national center|hudson institute|tv|barriers along|adult stem cells produce treatment breakthroughs|u.s. border patrol|massachusetts association of health plans|msnbc,workload|iranians|mexican|koreans|non-mexicans|chinese|latin american
factcheck,2007-05-01T00:00:00,brooks jackson|webby awards|webby,web,people â€™s voice|international academy of digital arts and sciences,internet
factcheck,2007-08-29T00:00:00,john calvin|christian|bill thomas|bobby â€™s|roman catholic|sources shuler|report card|m.j. terrebonne|shuler|bob kerrey|melinda|guard|bobby jindal|bobby|thomas|glen willard|jonathan|marsha|tammy duckworth|wesley clark|kara falkenstein|john breaux|simpson|jesus|alice ann|jindal|calvin|episcopalians|a. gardner|breaux,methodists|puerto rico|columbia|california|louisiana|web|iraq|scripture|baptists|magisterium|st. paul,louisiana democratic party|department of health and hospitals|most americans|department of health and hospital â€™s|afghanistan veterans of america political action committee|emi kolawole correction|afghanistan veterans of america|tricare|congressional budget office|house and senate|pentecostal|commission|lutherans and calvinists|protestants|new oxford review|christians|national guard and reserve|department of veterans affairs|the national bipartisan commission|baptist and pentecostal|halliburton|reserve|lower prescription drug costs|house of representatives|evangelical protestants|catholic church|department of defense â€™s|national guard|future of medicare|budget|baton rouge|baptist|power rankings â€ù|votevets|iava|concurrent resolution|associated press|limiting medicaid prescriptions the|you â€_ yet|christ [ biblical|pac|medicare reform panel argue over data|secretary of health and human services|social security|louisiana protestants|modern healthcare|secretary|yet christ|rhodes scholar|associated press online,anglicans|evangelicals|catholics|legislature|medicaid|catholicism|catholic|new pac|spirit-led|protestant|best actor|medicare|bible
